"","Date","The_Big_Bang_Theory_en.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_fr.wikipedia.org_desktop_all.agents","Liste_des_épisodes_de_The_Big_Bang_Theory_fr.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory_en.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory_.season_9._en.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory_fr.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_en.wikipedia.org_all.access_spider","List_of_The_Big_Bang_Theory_episodes_en.wikipedia.org_all.access_spider","The_Big_Bang_Theory_.season_9._en.wikipedia.org_all.access_spider","List_of_The_Big_Bang_Theory_episodes_en.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_.season_9._en.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_de.wikipedia.org_all.access_spider","The_Big_Bang_Theory.Episodenliste_de.wikipedia.org_all.access_spider","The_Big_Bang_Theory_fr.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory_de.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory.Episodenliste_de.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory_es.wikipedia.org_desktop_all.agents","The_Big_Bang_Theory_en.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory_.season_9._en.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory_es.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_es.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory_de.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory.Episodenliste_de.wikipedia.org_mobile.web_all.agents","The_Big_Bang_Theory_fr.wikipedia.org_all.access_spider","The_Big_Bang_Theory_de.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory.Episodenliste_de.wikipedia.org_all.access_all.agents","The_Big_Bang_Theory_es.wikipedia.org_all.access_spider"
"12",2015-07-11,"14394"," 1679","  253"," 7347","  157"," 3182","   58","   22","    1"," 5287","  169","    5","    4"," 1418"," 2036","  680"," 1016"," 6699","   12"," 2194"," 1165"," 2739","  379","   14"," 5023"," 1097","   20"
"13",2015-07-12,"16684"," 1189","  340"," 8129","  155"," 1925","   57","   24","   18"," 5965","  173","   11","    6","  699"," 2599","  985","  970"," 8128","   18"," 2254"," 1247"," 3206","  515","    4"," 6106"," 1547","    9"
"14",2015-07-13,"16697"," 1406","  489"," 8958","  202"," 2281","  103","   17","    9"," 5871","  230","   14","    3","  841"," 5101"," 1244"," 1370"," 7366","   28"," 2653"," 1253"," 7350","  910","   20","13143"," 2243","   24"
"15",2015-07-14,"16317"," 1460","  567"," 8870","  187"," 2400","   85","   30","    1"," 5669","  209","    1","    3","  877"," 4109"," 1053"," 1308"," 7098","   22"," 2648"," 1318"," 3629","  485","    9"," 7964"," 1577","   10"
"16",2015-07-15,"16424"," 1401","  574"," 8576","  176"," 2232","   51","   19","    9"," 5819","  199","   16","    6","  777"," 3219","  867"," 1139"," 7516","   23"," 2489"," 1324"," 3188","  427","   10"," 6645"," 1335","    5"
"17",2015-07-16,"17296"," 1426","  528"," 9096","  168"," 2257","  123","   41","    4"," 5779","  193","    8","    2","  780"," 2679","  800"," 1175"," 7835","   25"," 2846"," 1640"," 2994","  339","    7"," 5886"," 1176","    7"
"18",2015-07-17,"16631"," 1329","  520"," 8545","  173"," 2265","  116","   51","   14"," 5927","  190","    9","    5","  900"," 2779","  766"," 1096"," 7725","   17"," 2578"," 1452"," 3199","  371","    5"," 6234"," 1174","    5"
"19",2015-07-18,"14897"," 1696","  449"," 7359","  188"," 3125","   85","   17","    3"," 5296","  216","    7","    1"," 1372"," 2315","  702","  896"," 7171","   28"," 2194"," 1269"," 3700","  423","   10"," 6313"," 1168","    7"
"20",2015-07-19,"16959"," 1286","  439"," 7974","  180"," 2047","   62","   28","    7"," 6006","  213","    8","    2","  714"," 2408","  977","  928"," 8587","   33"," 2330"," 1375"," 3247","  526","   17"," 5919"," 1563","   22"
"21",2015-07-20,"17665"," 1464","  573"," 9139","  215"," 2309","   96","   20","   11"," 6147","  236","   17","    4","  770"," 4380"," 1085"," 1296"," 8102","   21"," 2744"," 1422"," 7530","  789","    6","12541"," 1955","    6"
"22",2015-07-21,"17245"," 1542","  540"," 9114","  190"," 2456","   34","   16","    4"," 5910","  218","    9","    6","  844"," 4135","  981"," 1504"," 7742","   27"," 3345"," 1789"," 4227","  515","    7"," 8724"," 1549","   10"
"23",2015-07-22,"16930"," 1394","  519"," 8647","  195"," 2152","   30","   14","    6"," 5898","  213","   12","    5","  724"," 3215","  876"," 1345"," 7918","   17"," 2809"," 1438"," 3745","  469","   13"," 7236"," 1394","    9"
"24",2015-07-23,"17300"," 1372","  438"," 8824","  179"," 2084","   35","   21","    2"," 5587","  202","    6","    3","  671"," 3162","  856"," 1183"," 8117","   23"," 3028"," 1804"," 3664","  419","    4"," 7114"," 1316","    6"
"25",2015-07-24,"16998"," 1244","  428"," 8453","  173"," 1933","   78","   20","    5"," 5631","  197","    9","    4","  657"," 3440","  754"," 1141"," 8150","   24"," 2561"," 1380"," 4216","  355","    5"," 8003"," 1143","    5"
"26",2015-07-25,"14263"," 1691","  416"," 6926","  145"," 3094","   48","   23","    3"," 4904","  159","   12","    7"," 1309"," 3282","  866","  964"," 7016","   14"," 2011"," 1022"," 4855","  501","    9"," 8607"," 1414","    8"
"27",2015-07-26,"17700"," 1333","  409"," 8441","  157"," 2144","   34","   73","    3"," 6187","  209","    5","    2","  760"," 2512","  920"," 1071"," 8772","   52"," 2345"," 1239"," 3836","  499","    5"," 6704"," 1474","    6"
"28",2015-07-27,"16933"," 1594","  484"," 8834","  209"," 2422","   34","   19","    1"," 6174","  225","   13","    4","  790"," 5769"," 1212"," 1255"," 7722","   14"," 2400"," 1113","10388","  885","    6","17015"," 2190","    6"
"29",2015-07-28,"15539"," 1476","  456"," 8521","  208"," 2233","   98","   58","    4"," 5519","  227","   10","    8","  718"," 4783"," 1144"," 1266"," 6709","   18"," 2643"," 1356"," 4970","  672","    5","10097"," 1864","    7"
"30",2015-07-29,"17975"," 1435","  512"," 9501","  239"," 2197","   48","  128","    7"," 6697","  273","   10","    9","  713"," 3791"," 1035"," 1255"," 8075","   32"," 2658"," 1375"," 4242","  563","    8"," 8399"," 1665","    9"
"31",2015-07-30,"18288"," 1976","  648"," 9506","  205"," 3049","   45","   10","    3"," 5881","  277","   11","    2","  993"," 3175","  911"," 1501"," 8346","   70"," 3827"," 2282"," 3907","  586","    7"," 7354"," 1544","   14"
"32",2015-07-31,"17907"," 1473","  402"," 8658","  178"," 2277","   33","   25","    2"," 5942","  196","   12","    2","  749"," 2791","  688"," 1332"," 8785","   18"," 3232"," 1861"," 3481","  406","    6"," 6554"," 1134","   10"
"33",2015-08-01,"15132"," 1640","  293"," 7456","  171"," 3141","   32","   20","    3"," 5025","  193","    9","    3"," 1415"," 2239","  666"," 1039"," 7316","   22"," 2276"," 1221"," 3223","  363","   11"," 5750"," 1077","    9"
"34",2015-08-02,"16835"," 1280","  320"," 8013","  211"," 2086","   38","   12","    2"," 5747","  240","   19","    4","  755"," 2320","  738"," 1005"," 8354","   27"," 2284"," 1246"," 2934","  371","    2"," 5492"," 1139","    5"
"35",2015-08-03,"16609"," 1193","  358"," 8445","  166"," 1766","   35","    9","    2"," 5594","  192","   11","    6","  534"," 3983","  930"," 1067"," 7767","   25"," 2191"," 1094"," 6929","  644","    5","11521"," 1636","   10"
"36",2015-08-04,"16041"," 1338","  410"," 8689","  191"," 2066","  106","   21","    3"," 5607","  224","    5","    1","  699"," 4691","  983"," 1196"," 6986","   32"," 2516"," 1295"," 5028","  726","    6","10125"," 1803","   10"
"37",2015-08-05,"17303"," 1187","  337"," 8742","  196"," 1936","   52","   10","    2"," 5904","  213","    8","    4","  705"," 3458","  813"," 1259"," 8141","   16"," 2606"," 1314"," 3734","  517","    4"," 7500"," 1395","    4"
"38",2015-08-06,"18176"," 1209","  335"," 9119","  196"," 1914","   71","   12","    3"," 5853","  243","   10","    6","  677"," 3272","  773"," 1462"," 8614","   47"," 3510"," 2002"," 3989","  516","    8"," 7595"," 1342","   12"
"39",2015-08-07,"16670"," 1096","  255"," 8516","  789"," 1759","   82","   38","   60"," 5542"," 1129","   22","    3","  632"," 3567","  873"," 1169"," 7764","  319"," 2685"," 1475"," 4916","  963","    1"," 8916"," 1931","    7"
"40",2015-08-08,"13823"," 1387","  306"," 6818","  665"," 2708","  121","   87","   14"," 5181"," 1028","    9","    4"," 1265"," 2423","  771","  899"," 6668","  336"," 2025"," 1104"," 4048","  770","    5"," 6865"," 1628","    6"
"41",2015-08-09,"16504"," 1106","  313"," 7614","  802"," 1940","  114","   21","   10"," 6274"," 1308","    9","    4","  792"," 2398","  772"," 1024"," 8408","  464"," 2365"," 1312"," 3154","  590","    5"," 5834"," 1421","    6"
"42",2015-08-10,"16134"," 1032","  328"," 8181","  979"," 1749","   90","   22","   21"," 6148"," 1576","   15","    1","  676"," 3936"," 1014"," 1126"," 7568","  560"," 2349"," 1193"," 7023","  809","    4","11601"," 1908","    3"
"43",2015-08-11,"16495"," 1270","  323"," 8690"," 1126"," 2071","   60","   43","   25"," 6277"," 1719","    5","   10","  748"," 4264","  925"," 1152"," 7447","  545"," 2307"," 1124"," 4024","  542","   11"," 8621"," 1514","   11"
"44",2015-08-12,"18776"," 1123","  301"," 9384"," 1340"," 1801","   67","   10","   56"," 7263"," 2110","   14","    1","  643"," 3082","  877"," 1323"," 8938","  713"," 2623"," 1275"," 3133","  465","    4"," 6479"," 1405","    7"
"45",2015-08-13,"18523"," 1231","  310"," 9191"," 1311"," 1912","   91","   25","   67"," 7185"," 2050","    1","    2","  631"," 3156","  830"," 1203"," 8849","  685"," 3487"," 2232"," 2885","  493","    3"," 6328"," 1365","    5"
"46",2015-08-14,"17142"," 1057","  262"," 8441"," 1125"," 1759","  151","   13","   13"," 6321"," 1873","   28","    7","  666"," 2718","  724"," 1123"," 8260","  704"," 2634"," 1482"," 3411","  426","    5"," 6448"," 1181","    2"
"47",2015-08-15,"14412"," 1704","  373"," 6962"," 1046"," 3684","   89","   19","   29"," 6223"," 1721","   12","    3"," 1879"," 2606","  728","  970"," 7113","  642"," 2068"," 1071"," 3405","  456","    8"," 6321"," 1228","    8"
"48",2015-08-16,"16940"," 1159","  373"," 7812"," 1062"," 2047","   41","   17","    8"," 7068"," 1772","   23","   10","  835"," 2433"," 1020","  871"," 8624","  661"," 1938"," 1041"," 3226","  556","    4"," 5996"," 1634","   10"
"49",2015-08-17,"17125"," 1256","  378"," 8877"," 1149"," 1965","  119","   15","    3"," 6980"," 1714","   12","    1","  675"," 4456"," 1184"," 1045"," 7845","  521"," 2479"," 1406"," 8068","  942","    8","13196"," 2227","    3"
"50",2015-08-18,"16700"," 1292","  384"," 9020"," 1197"," 2070","   90","   20","   39"," 7134"," 1865","    7","    1","  739"," 4400"," 1092"," 1302"," 7307","  615"," 2772"," 1434"," 4243","  661","    5"," 9008"," 1824","    8"
"51",2015-08-19,"20401"," 1412","  309"," 9617"," 1420"," 2276","   94","   50","   48"," 8330"," 2422","   11","    8","  808"," 3553","  971"," 1295","10300","  946"," 2814"," 1488"," 3273","  487","    3"," 7133"," 1501","    9"
"52",2015-08-20,"17967"," 1184","  241"," 8756"," 1294"," 1970","   65","   21","   17"," 7512"," 2189","    9","    6","  744"," 3038","  893"," 1258"," 8794","  848"," 3329"," 2026"," 2815","  440","    6"," 6083"," 1366","   15"
"53",2015-08-21,"18167"," 1096","  272"," 9192"," 1290"," 1765","   61","   20","    5"," 6878"," 2135","   16","    4","  638"," 2620","  708"," 1209"," 8589","  804"," 2901"," 1656"," 2729","  392","    6"," 5600"," 1140","    6"
"54",2015-08-22,"16796"," 1504","  343"," 7952"," 1427"," 2984","   85","   21","  169"," 6762"," 2284","   19"," 1288"," 1414"," 2458"," 2181","  961"," 8400","  814"," 2072"," 1077"," 3469","  625","   11"," 6228"," 2876","    6"
"55",2015-08-23,"17309"," 1293","  399"," 7964"," 1346"," 2155","   55","   15","   33"," 7200"," 2228","   11","    4","  812"," 2491","  949"," 1272"," 8903","  837"," 2920"," 1616"," 3624","  812","   20"," 6453"," 1836","    5"
"56",2015-08-24,"17926"," 1355","  416"," 9694"," 1895"," 2296","   77","   27","   31"," 7652"," 2950","   16","    5","  884"," 4776"," 1258"," 1572"," 7880"," 1008"," 3302"," 1692"," 8028","  974","    6","13502"," 2339","    3"
"57",2015-08-25,"17665"," 1296","  376"," 9491"," 2016"," 2014","   50","   12","    2"," 7817"," 3250","    9","   16","  661"," 4014"," 1089"," 1216"," 7824"," 1188"," 2827"," 1569"," 3771","  600","    6"," 8074"," 1741","    5"
"58",2015-08-26,"21432"," 1469","  390","11139"," 2289"," 2318","   69","   18","   49"," 8400"," 3708","    6","    9","  809"," 3406","  910"," 1671"," 9885"," 1348"," 3273"," 1560"," 3011","  470","    3"," 6680"," 1436","    5"
"59",2015-08-27,"20692"," 1740","  389","10821"," 2346"," 2683","   65","   61","   53"," 8499"," 3879","    7","    1","  893"," 5996"," 1025"," 1703"," 9389"," 1457"," 4059"," 2313"," 3609","  503","    6"," 9932"," 1570","   14"
"60",2015-08-28,"18142"," 1300","  336"," 9174"," 2195"," 2117","  118","   36","   44"," 7409"," 3615","   24","   20","  771"," 3291","  824"," 1469"," 8541"," 1363"," 3389"," 1883"," 3028","  402","    9"," 6581"," 1262","   12"
"61",2015-08-29,"15458"," 1609","  414"," 7342"," 1833"," 3521","   65","   54","    6"," 7265"," 3165","    5","    8"," 1831"," 2090","  724"," 1076"," 7763"," 1268"," 2289"," 1191"," 3500","  614","   10"," 5930"," 1401","    6"
"62",2015-08-30,"18002"," 1266","  404"," 8460"," 2054"," 2194","   54","   15","    8"," 8111"," 3514","   33","    5","  876"," 2231","  872"," 1267"," 9092"," 1403"," 2780"," 1475"," 3250","  538","    5"," 5781"," 1451","    5"
"63",2015-08-31,"21666"," 1317","  370","10583"," 3207"," 2153","  129","   50","    9","10890"," 6518","   17","    3","  796"," 4726"," 1270"," 1574","10504"," 3145"," 3513"," 1908"," 9256"," 1109","    8","14714"," 2501","    6"
"64",2015-09-01,"17238"," 1289","  382"," 9368"," 2931"," 2039","   99","   16","    7"," 8354"," 4907","   12","    8","  697"," 4407"," 1140"," 1396"," 7502"," 1877"," 2980"," 1552"," 4134","  694","    4"," 8823"," 1897","    9"
"65",2015-09-02,"18848"," 1277","  421"," 9700"," 3031"," 2197","   79","   25","    4"," 8521"," 5291","   19","    5","  866"," 3260"," 1041"," 1534"," 8706"," 2172"," 2881"," 1306"," 3277","  584","    5"," 6790"," 1675","   19"
"66",2015-09-03,"18071"," 1123","  322"," 9189"," 2672"," 1837","   91","   24","    9"," 7722"," 4571","    4","   23","  666"," 3076"," 1063"," 1549"," 8431"," 1830"," 3572"," 1961"," 2836","  472","    4"," 6167"," 1571","   25"
"67",2015-09-04,"16394"," 1099","  328"," 8324"," 2557"," 1829","   89","   14","    8"," 6956"," 4212","    9","    6","  694"," 2641","  948"," 1414"," 7725"," 1589"," 3397"," 1935"," 2952","  536","    6"," 5863"," 1522","    6"
"68",2015-09-05,"16499"," 1833","  454"," 7797"," 2799"," 3864","  139","   20","   53"," 7852"," 5401","   23","    2"," 1936"," 2288","  826","  950"," 8255"," 2509"," 2173"," 1194"," 3220","  542","    6"," 5797"," 1442","    9"
"69",2015-09-06,"18686"," 1410","  461"," 9161"," 3041"," 2456","  212","   15","   29"," 8192"," 5353","   11","    5","  995"," 2498"," 1113"," 1160"," 9048"," 2213"," 2567"," 1369"," 3160","  677","    9"," 5933"," 1854","    4"
"70",2015-09-07,"21336"," 1316","  416","11162"," 3970"," 2190","  108","   22","   10"," 8969"," 6597","   23","    5","  837"," 5176"," 1600"," 1480"," 9718"," 2550"," 2776"," 1259"," 8444"," 1573","    6","14323"," 3356","    8"
"71",2015-09-08,"20135"," 1123","  335","10817"," 4158"," 1818","   76","   26","   14"," 8849"," 6849","   15","    5","  651"," 4131"," 1183"," 1332"," 8867"," 2598"," 2654"," 1291"," 3731","  754","    2"," 8199"," 1999","    4"
"72",2015-09-09,"20903"," 1187","  366","11358"," 4192"," 1880","  143","   39","   32"," 8584"," 7064","    8","    9","  651"," 3329"," 1133"," 1549"," 9093"," 2758"," 2938"," 1366"," 3524","  547","    4"," 7164"," 1743","    7"
"73",2015-09-10,"24452"," 1449","  407","13556"," 5796"," 2257","  144","   26","   11","10987"," 9858","   10","   23","  777"," 3400"," 1097"," 1695","10327"," 3924"," 3650"," 1893"," 3365","  605","    3"," 7060"," 1764","    7"
"74",2015-09-11,"20222"," 1293","  340","10678"," 4200"," 2018","  123","   28","   39"," 8697"," 7196","    8","    4","  685"," 3177","  857"," 1348"," 9068"," 2908"," 2932"," 1536"," 3465","  490","    9"," 6909"," 1383","    6"
"75",2015-09-12,"17057"," 2135","  560"," 8705"," 3307"," 4447","  103","   19","   27"," 7610"," 5751","   19","    2"," 2192"," 3342","  955"," 1049"," 7953"," 2351"," 2257"," 1184"," 8770","  637","    7","12661"," 1656","    9"
"76",2015-09-13,"22693"," 1776","  542","10587"," 4160"," 3008","   83","   35","   30"," 9454"," 7360","   14","   16"," 1165"," 3338"," 1259"," 1106","11471"," 3068"," 2362"," 1229"," 6212","  802","    6","10022"," 2208","    8"
"77",2015-09-14,"20973"," 1458","  469","11965"," 4909"," 2375","  168","   29","   20"," 9837"," 7999","   25","   19","  864"," 6437"," 2992"," 1489"," 8560"," 2971"," 2810"," 1296"," 8788"," 2321","    6","16076"," 5626","    8"
"78",2015-09-15,"22359"," 1368","  375","12021"," 5111"," 2107","  107","   23","   13","10086"," 8826","   11","   53","  707"," 5381"," 2327"," 1380"," 9796"," 3573"," 2769"," 1348"," 4395","  880","    5","10117"," 3286","   11"
"79",2015-09-16,"23098"," 1334","  399","12133"," 4975"," 2093","  117","   55","   18","10145"," 8772","   19","    3","  731"," 3916"," 1339"," 1440","10456"," 3678"," 2664"," 1193"," 3637","  584","   11"," 7865"," 1989","   13"
"80",2015-09-17,"21481"," 1187","  393","11395"," 4630"," 1833","  164","   80","   13"," 9431"," 7834","   15","    9","  605"," 3328"," 1199"," 1373"," 9562"," 3088"," 2819"," 1414"," 3393","  524","    6"," 7006"," 1775","   15"
"81",2015-09-18,"23665"," 1251","  416","12943"," 5366"," 1879","  233","   54","   41","10384"," 9080","   23","   18","  601"," 3296"," 1129"," 1302","10172"," 3582"," 2446"," 1116"," 3403","  549","    9"," 7010"," 1733","   10"
"82",2015-09-19,"21990"," 2097","  594","11570"," 5262"," 4257","  117","  105","   53","10941"," 8802","   35","    3"," 2046"," 2605"," 1001"," 1086"," 9863"," 3421"," 2341"," 1224"," 3603","  584","   26"," 6558"," 1654","    6"
"83",2015-09-20,"24624"," 1581","  587","12420"," 6208"," 2614","  119","   64","   13","12313","10759","    9","   14","  985"," 2841"," 1285"," 1288","11608"," 4388"," 2775"," 1459"," 3362","  656","    8"," 6501"," 2005","   13"
"84",2015-09-21,"34646"," 1584","  544","20014","13852"," 2539","  143","  103","   30","19303","23160","   23","   43","  884"," 6175"," 2580"," 2119","13897"," 9009"," 4152"," 1980"," 7493"," 1611","    5","14356"," 4390","   16"
"85",2015-09-22,"48200"," 2015","  950","28807","21164"," 2855","  353","  183","  328","36957","33548","   21","   16","  808"," 7208"," 2738"," 2225","18253","11798"," 3967"," 1694"," 4752","  923","   36","12355"," 3763","   20"
"86",2015-09-23,"29176"," 1477","  562","17160","11243"," 2226","  262","  100","  152","21239","17865","   29","    9","  700"," 4450"," 1792"," 1712","11400"," 6323"," 3190"," 1445"," 3234","  695","    5"," 8003"," 2550","    7"
"87",2015-09-24,"23564"," 1349","  483","13354"," 7733"," 2043","  223","   79","   36","15682","12801","   10","    8","  646"," 3268"," 1366"," 1908"," 9652"," 4846"," 3727"," 1773"," 2842","  510","   12"," 6334"," 1911","   30"
"88",2015-09-25,"21395"," 1219","  445","12241"," 7077"," 1892","  368","  122","   29","14609","11717","   18","   15","  626"," 3039"," 1162"," 1517"," 8706"," 4445"," 3138"," 1575"," 2662","  455","   11"," 5977"," 1668","    6"
"89",2015-09-26,"28412"," 2298","  647","14882"," 7116"," 4456","  181","   88","   26","15309","12378","   40","    5"," 2044"," 3375"," 1089"," 1391","12741"," 5005"," 2851"," 1425"," 3339","  557","   25"," 7059"," 1694","   11"
"90",2015-09-27,"26282"," 1531","  561","13564"," 7687"," 2738","  119","   84","   70","16168","13480","   18","    8"," 1143"," 3044"," 1201"," 1653","12066"," 5590"," 3247"," 1550"," 2911","  572","   12"," 6269"," 1841","   12"
"91",2015-09-28,"28013"," 1566","  594","16397","10840"," 2421","  186","   88","   29","19305","17345","   18","   20","  823"," 6765"," 2655"," 1927","10985"," 6248"," 3459"," 1501"," 9828"," 2161","    9","17791"," 5103","   10"
"92",2015-09-29,"37701"," 1938","  757","21880","17362"," 2763","  194","  116","  118","30473","27958","   14","   13","  781"," 6926"," 2471"," 2173","14870","10072"," 3791"," 1584"," 4456"," 1005","   11","11829"," 3583","   16"
"93",2015-09-30,"26204"," 1359","  438","15301"," 9364"," 2129","  210","   97","   57","18256","15031","   15","    7","  726"," 3758"," 1500"," 1942","10280"," 5405"," 3600"," 1619"," 2916","  555","   10"," 6965"," 2121","   19"
"94",2015-10-01,"23212"," 1245","  361","13244"," 7306"," 1928","  157","   80","   49","14315","11490","   27","    5","  645"," 3012"," 1275"," 1793"," 9451"," 4014"," 3652"," 1818"," 2704","  505","    8"," 5968"," 1817","   19"
"95",2015-10-02,"20248"," 1295","  391","11618"," 7020"," 1924","  128","   79","   44","13681","11079","   32","   33","  599"," 2640"," 1128"," 1709"," 8145"," 3888"," 3578"," 1824"," 2669","  483","   15"," 5587"," 1666","    8"
"96",2015-10-03,"19094"," 2059","  517","10023"," 6463"," 3882","  117","   73","   49","13139","10902","   31","   10"," 1724"," 2785"," 1127"," 1576"," 8636"," 4270"," 3226"," 1593"," 3247","  657","   19"," 6363"," 1852","   20"
"97",2015-10-04,"20225"," 1577","  580","10818"," 6875"," 2620","  132","   69","   37","13775","11587","   19","   12","  990"," 2835"," 1345"," 1516"," 8904"," 4537"," 3145"," 1570"," 3058","  694","    5"," 6192"," 2117","    4"
"98",2015-10-05,"22564"," 1407","  466","13698","10437"," 2188","  201","  109","   75","17604","15752","   33","   17","  745"," 5338"," 2439"," 1785"," 8378"," 5108"," 3190"," 1370"," 6635"," 1858","    9","12720"," 4522","   13"
"99",2015-10-06,"28884"," 1532","  564","17341","14698"," 2341","  174","  107","   99","25747","22425","   35","   11","  768"," 5268"," 2206"," 1939","10923"," 7392"," 3440"," 1464"," 3343","  914","   13"," 8968"," 3195","    9"
"100",2015-10-07,"22802"," 1324","  442","13473"," 9060"," 2001","  192","  100","   39","16837","13937","   25","   11","  647"," 3993"," 1607"," 1822"," 8811"," 4681"," 3318"," 1454"," 2932","  640","    5"," 7222"," 2314","    6"
"101",2015-10-08,"19194"," 1137","  358","11148"," 7284"," 1724","  129","   63","   21","13590","11549","   17","   16","  565"," 3230"," 1229"," 1718"," 7646"," 4089"," 3536"," 1757"," 2438","  523","   11"," 5942"," 1795","   16"
"102",2015-10-09,"17537"," 1136","  404","10335"," 6968"," 1758","  169","   67","   37","13064","10780","   14","    5","  587"," 2944"," 1079"," 1401"," 6831"," 3659"," 2797"," 1358"," 2834","  495","   10"," 6075"," 1619","    7"
